time,open,high,low,close,Volume,Volume MA
2019-12-31T23:30:00Z,129.21,129.21,129.21,129.21,7.50274,NaN
2020-01-01T00:30:00Z,129.21,129.63,129.21,129.21,30.85205,NaN
2020-01-01T01:00:00Z,129.53,130,129.53,130,169.43258,NaN
2020-01-01T01:30:00Z,130,130.48,130,130.48,0.07392,NaN
2020-01-01T02:00:00Z,130.88,130.98,130.2,130.2,5.58252,NaN
2020-01-01T03:00:00Z,130.82,130.82,130.82,130.82,0.15271,NaN
2020-01-01T03:30:00Z,130.82,130.82,130.8,130.8,0.09182,NaN
2020-01-01T04:00:00Z,130.9,130.9,130.32,130.32,0.49222,NaN
2020-01-01T05:00:00Z,130.75,130.75,130.75,130.75,0.04581,NaN
2020-01-01T05:30:00Z,130.83,130.83,130.77,130.77,1.07573,NaN
2020-01-01T06:30:00Z,131.2,131.2,131.2,131.2,0.04591,NaN
2020-01-01T07:00:00Z,131.04,131.04,131.03,131.03,0.09202,NaN
2020-01-01T07:30:00Z,131,131,130.93,130.93,1.08091,NaN
2020-01-01T09:00:00Z,131.02,131.06,131.02,131.06,0.06302,NaN
2020-01-01T10:00:00Z,131.02,131.02,131.02,131.02,0.45981,NaN
2020-01-01T11:00:00Z,131.21,131.21,131.21,131.21,0.09781,NaN
2020-01-01T12:00:00Z,131.07,131.07,131.07,131.07,0.06091,NaN
2020-01-01T12:30:00Z,131.31,131.94,131.31,131.94,1.11053,NaN
2020-01-01T13:00:00Z,132,132,132,132,0.04561,NaN
2020-01-01T13:30:00Z,132,132,132,132,0.02281,10.919072
2020-01-01T14:00:00Z,132,132.47,132,132.47,1.48822,10.618346
2020-01-01T14:30:00Z,132.7,132.7,132.05,132.05,0.33672,9.092579500000003
2020-01-01T15:30:00Z,132.41,132.41,132.41,132.41,0.45241,0.6435710000000021
2020-01-01T16:00:00Z,132.9,132.9,132.28,132.5,1.23166,0.7014580000000021
2020-01-01T16:30:00Z,132.53,132.64,132.53,132.64,0.33192,0.43892800000000226
2020-01-01T17:00:00Z,133,133.18,132.91,133.02,0.53214,0.45789950000000224
2020-01-01T17:30:00Z,132.6,132.6,132.6,132.6,0.04501,0.45555900000000216
2020-01-01T18:00:00Z,132.76,132.76,132.43,132.43,0.05812,0.43385400000000224
2020-01-01T18:30:00Z,132.15,132.15,132.15,132.15,0.01141,0.43213400000000224
2020-01-01T19:00:00Z,132.27,132.37,132.15,132.37,34.78564,2.1176295000000023
2020-01-01T19:30:00Z,132.31,132.31,132.31,132.31,0.04551,2.1176095000000026
2020-01-01T20:00:00Z,132.31,132.4,131.73,132.4,1.33446,2.1797315000000026
2020-01-01T20:30:00Z,132.41,132.65,132.41,132.65,1.08282,2.179827000000002
2020-01-01T21:00:00Z,132.63,132.7,132.49,132.7,0.39395,2.196373500000002
2020-01-01T21:30:00Z,132.39,132.39,132.29,132.29,0.09092,2.177929000000002
2020-01-01T22:00:00Z,131.85,131.85,131.12,131.12,0.16084,2.181080500000002
2020-01-01T22:30:00Z,130.66,130.98,130,130.98,7.31485,2.543777500000002
2020-01-01T23:00:00Z,130.67,130.98,130.44,130.98,3.09637,2.643069500000002
2020-01-01T23:30:00Z,131.11,131.11,131.11,131.11,0.04601,2.643089500000002
2020-01-02T00:00:00Z,130.6,130.6,130.57,130.57,0.85892,2.684895000000002
2020-01-02T00:30:00Z,130.87,130.94,130.87,130.94,11.55604,3.1882860000000024
2020-01-02T01:00:00Z,130.94,130.95,130.94,130.95,18.97153,4.1200265000000025
2020-01-02T02:00:00Z,130,130,129.71,129.71,0.34151,4.114481500000002
